-1.0085, 1.4978
-1.0004, 1.4978
-0.9922, 1.4977
-0.9841, 1.4671
-0.976, 1.4671
-0.9679, 1.467
-0.9598, 1.4668
-0.9517, 1.437
-0.9436, 1.4077
-0.9355, 1.4076
-0.9274, 1.4076
-0.9192, 1.4075
-0.9111, 1.3788
-0.903, 1.3787
-0.8949, 1.3506
-0.8868, 1.3505
-0.8787, 1.3505
-0.8706, 1.3229
-0.8625, 1.3228
-0.8544, 1.3228
-0.8463, 1.2958
-0.8382, 1.2957
-0.83, 1.2692
-0.8218, 1.2692
-0.8138, 1.2433
-0.8056, 1.2433
-0.7976, 1.2179
-0.7894, 1.2178
-0.7814, 1.2178
-0.7732, 1.1929
-0.7652, 1.1686
-0.757, 1.1685
-0.749, 1.1685
-0.7408, 1.1684
-0.7327, 1.1446
-0.7246, 1.1212
-0.7165, 1.1212
-0.7084, 1.0983
-0.7003, 1.0982
-0.6922, 1.0982
-0.6841, 1.0758
-0.676, 1.0538
-0.6679, 1.0538
-0.6598, 1.0323
-0.6517, 1.0112
-0.6436, 1.0111
-0.6354, 0.9905
-0.6273, 0.9905
-0.6192, 0.9702
-0.6111, 0.9702
-0.603, 0.9504
-0.5949, 0.931
-0.5868, 0.912
-0.5787, 0.912
-0.5706, 0.8933
-0.5625, 0.8933
-0.5544, 0.8751
-0.5463, 0.8572
-0.5382, 0.8397
-0.5301, 0.8397
-0.522, 0.8225
-0.5138, 0.8225
-0.5057, 0.8056
-0.4976, 0.7893
-0.4895, 0.7732
-0.4814, 0.7731
-0.4733, 0.7572
-0.4652, 0.7419
-0.4571, 0.7267
-0.449, 0.7119
-0.4409, 0.7119
-0.4328, 0.6973
-0.4247, 0.6831
-0.4247, 0.6692
-0.4166, 0.6555
-0.4085, 0.6555
-0.4003, 0.6421
-0.3923, 0.629
-0.3841, 0.6162
-0.3761, 0.6036
-0.3679, 0.5913
-0.3679, 0.5792
-0.3599, 0.5674
-0.3518, 0.5674
-0.3518, 0.5558
-0.3518, 0.5445
-0.3437, 0.5445
-0.3437, 0.5333
